company_name,funding_citations
aviadobio ltd,https://www.prnewswire.com/news-releases/astellas-and-aviadobio-announce-exclusive-option-and-license-agreement-for-gene-therapy-avb-101-targeting-frontotemporal-dementia-and-other-indications-302270158.html
kanglin biotech hangzhou co ltd,https://synapse.patsnap.com/article/kanglin-biotechnology-secures-20m-series-a-for-gene-therapy-development
acea biosciences inc,https://www.linkedin.com/company/acea-biosciences
bioinvent international ab,https://www.globaldata.com/company-profile/bioinvent-international-ab/
concentric analgesics inc,https://www.linkedin.com/company/concentric-analgesics-inc-
cue biopharma inc,https://www.cuebiopharma.com/
codiak biosciences inc,https://www.biospace.com/employer/1935177/codiak-biosciences#:~:text=Codiak%20Biosciences%20filed%20for%20bankruptcy%20in%202023.
ardelyx inc,https://www.linkedin.com/company/ardelyx-inc-
ocugen inc,https://www.linkedin.com/company/ocugen
catalyst biosciences inc,https://www.linkedin.com/company/catalyst-biosciences
molecular partners ag,https://www.linkedin.com/company/molecular-partners-ag-zurich-switzerland
xcovery holding co llc,https://www.crunchbase.com/organization/xcovery
beone medicines ltd,https://en.wikipedia.org/wiki/BeOne_Medicines
itabmed co ltd,https://itabmed.us/
monopteros therapeutics inc,https://www.biospace.com/monopteros-therapeutics-initiates-clinical-trial-to-reprogram-regulatory-t-cells-in-solid-tumors
shenzhen oculgen biomedical technology co ltd,https://www.linkedin.com/posts/jack-chen-2104204a_shenzhen-oculgen-biomedical-technology-co-activity-7268659467674619904-1HlL
diakonos oncology corp,https://www.prnewswire.com/news-releases/diakonos-oncology-closes-20-million-financing-to-accelerate-phase-2-glioblastoma-clinical-development-program-and-expand-use-of-innovative-dendritic-cell-platform-for-studies-in-other-indications-302468995.html
edgewood oncology inc,https://www.businesswire.com/news/home/20240325308786/en/Edgewood-Oncology-Emerges-From-Stealth-with-%2420-Million-in-Series-A-Financing-to-Advance-BTX-A51-in-Patients-with-Hematologic-Malignancies-and-Genetically-Defined-Solid-Tumors
imbiologics corp,http://imbiologics.com/about/company.php
cellestia biotech ag,https://www.startupticker.ch/en/company/cellestia-biotech
ginkgo tree pharmaceutical (suzhou) co ltd,https://pitchhub.36kr.com/project/1679796954452743
elysium health inc,https://en.wikipedia.org/wiki/Elysium_Health
onyx pharmaceuticals inc,https://www.linkedin.com/company/onyx-pharmaceuticals
